time,ax,ay,az,atotal,Resultante
1.839783192,0.06,-1.71,-0.27,1.73,0.031622777
1.849844933,0.06,-1.72,-0.3,1.74,0.081240384
1.860146046,0.05,-1.71,-0.38,1.75,0.146969385
1.870446205,0.01,-1.85,-0.36,1.88,0.262488095
1.879947186,0.09,-2.09,-0.29,2.11,0.247790234
1.905733109,0.22,-2.3,-0.27,2.32,0.43
1.907311916,0.28,-2.72,-0.34,2.75,0.350713558
1.909010887,0.3,-3.07,-0.35,3.1,0.267020598
1.919342995,0.31,-3.33,-0.29,3.35,0.253771551
1.929835081,0.23,-3.57,-0.27,3.58,0.405709256
1.940247059,0.12,-3.95,-0.36,3.96,0.525071424
1.949308872,-0.04,-4.45,-0.37,4.46,0.248394847
1.959707022,0.01,-4.69,-0.33,4.7,0.082462113
1.969353199,0.09,-4.69,-0.31,4.7,0.053851648
1.979774952,0.05,-4.66,-0.33,4.67,0.115758369
2.005598068,-0.02,-4.73,-0.39,4.74,0.148996644
2.006880045,-0.13,-4.63,-0.4,4.64,0.225166605
2.008744001,-0.26,-4.46,-0.47,4.49,0.086023253
2.029411077,-0.29,-4.38,-0.48,4.41,0.246981781
2.031310081,-0.17,-4.17,-0.43,4.19,0.329089653
2.042181015,-0.12,-3.94,-0.2,3.94,0.258069758
2.049143076,-0.19,-3.75,-0.04,3.75,0.340587727
2.060358047,-0.11,-3.45,0.1,3.45,0.078740079
2.069475174,-0.17,-3.46,0.15,3.46,0.153622915
2.079244137,-0.15,-3.6,0.09,3.6,0.117473401
2.107582092,-0.04,-3.61,0.13,3.61,0.206155281
2.109657049,0.06,-3.44,0.19,3.44,0.160312195
2.110920906,0,-3.3,0.24,3.3,0.236220236
2.129786015,-0.02,-3.07,0.29,3.08,0.297657521
2.131640911,-0.08,-2.78,0.32,2.79,0.260192237
2.142616987,-0.2,-2.56,0.25,2.57,0.31
2.148396969,-0.26,-2.29,0.11,2.3,0.412431813
2.159675121,-0.27,-1.89,0.01,1.9,0.599749948
2.168660164,-0.31,-1.3,0.11,1.34,0.581721583
2.178780079,-0.27,-0.72,0.13,0.77,0.438748219
2.208259106,-0.15,-0.31,0.03,0.34,0.451884941
2.210114002,0.04,0.09,-0.06,0.11,0.404351332
2.211654186,0.21,0.44,-0.17,0.51,0.307408523
2.229083061,0.27,0.74,-0.2,0.81,0.413521463
2.230683088,0.25,1.15,-0.15,1.18,0.23
2.242222071,0.22,1.29,-0.33,1.34,0.370270172
2.247890949,0.35,1.1,-0.62,1.31,0.194164878
2.259702206,0.54,1.1,-0.66,1.39,0.320624391
2.268534184,0.64,1.38,-0.54,1.61,0.197989899
2.278440952,0.62,1.56,-0.46,1.74,0.294957624
2.306977987,0.43,1.61,-0.68,1.79,0.583180932
2.309018135,-0.06,1.87,-0.86,2.05,0.538330753
2.310339928,-0.5,2.16,-0.97,2.42,0.436921045
2.317604065,-0.59,2.58,-0.89,2.79,0.362491379
2.328157902,-0.62,2.94,-0.86,3.12,0.377756535
2.337424994,-0.49,3.27,-0.73,3.38,0.568858506
2.34812212,-0.05,3.47,-0.43,3.49,0.398622629
2.358129025,0.19,3.25,-0.66,3.32,0.495378643
2.367686987,0.17,2.9,-1.01,3.07,0.229128785
2.378087997,-0.02,2.8,-1.09,3,0.126885775
2.403702021,-0.14,2.84,-1.08,3.04,0.283901391
2.405081034,-0.11,3.1,-1.19,3.32,0.328176782
2.406971931,-0.07,3.41,-1.29,3.64,0.323109888
2.41719389,0.11,3.65,-1.41,3.91,0.366742416
2.427440166,0.29,3.95,-1.52,4.24,0.288097206
2.437388897,0.32,4.2,-1.66,4.52,0.532259335
2.447900057,0.36,4.59,-2.02,5.02,0.655438784
2.457408905,0.14,5.15,-2.28,5.63,0.730136973
2.467549086,-0.15,5.82,-2.27,6.24,0.476864761
2.477857113,-0.07,6.29,-2.28,6.69,0.517107339
2.506834984,0.12,6.77,-2.31,7.15,0.475499737
2.508416176,0.3,7.18,-2.47,7.59,0.303479818
2.509549141,0.44,7.32,-2.7,7.81,0.216564078
2.516678095,0.38,7.44,-2.87,7.98,0.254165301
2.527283192,0.52,7.47,-3.08,8.09,0.366196668
2.536665916,0.39,7.51,-3.42,8.26,0.566215507
2.547424078,0.09,7.76,-3.83,8.65,0.428719022
2.557021141,-0.02,8.15,-3.97,9.06,0.320156212
2.567170143,0.08,8.45,-3.92,9.31,0.519037571
2.577193022,0.46,8.8,-3.97,9.66,0.267768557
2.602684021,0.65,8.96,-4.07,9.86,0.211187121
2.603828907,0.58,9.15,-4.01,10,0.404103947
2.605999947,0.56,9.45,-3.74,10.17,0.096953597
2.616999149,0.53,9.52,-3.68,10.22,0.197989899
2.626682043,0.43,9.36,-3.74,10.08,0.264764046
2.637125015,0.25,9.2,-3.63,9.89,0.22737634
2.646445036,0.09,9.26,-3.48,9.89,0.184661853
2.656311989,-0.05,9.18,-3.57,9.84,0.326649659
2.666643143,0,8.87,-3.66,9.59,0.371214224
2.676591873,0.36,8.86,-3.57,9.55,0.516333226
2.701830864,0.77,9.13,-3.41,9.77,0.281780056
2.703123093,0.73,9.4,-3.48,10.05,0.414004831
2.705921173,0.44,9.67,-3.36,10.24,0.56833089
2.717521191,0.03,10.02,-3.18,10.51,0.661059755
2.727291107,-0.32,10.58,-3.15,11.04,0.527825729
2.73656702,-0.41,11.1,-3.16,11.54,0.317804972
2.746280193,-0.41,11.41,-3.09,11.82,0.219317122
2.756577969,-0.41,11.5,-2.89,11.86,0.443734155
2.766512871,-0.18,11.62,-2.53,11.89,0.430464865
2.776616096,0.17,11.4,-2.41,11.65,0.953152664
2.80002594,0.44,10.5,-2.57,10.81,1.175627492
2.801251888,0.57,9.34,-2.71,9.74,1.048045801
2.805183887,0.59,8.32,-2.47,8.69,1.215442306
2.815290928,0.39,7.3,-1.84,7.53,1.537823137
2.826063156,0.07,5.9,-1.29,6.03,2.018068383
2.835834026,-0.23,3.91,-1.14,4.07,1.990628042
2.845632076,-0.74,2.03,-0.73,2.28,1.194110548
2.855519056,-0.97,0.9,-1.04,1.68,3.044026938
2.865346909,-1.62,-1.54,-2.74,3.53,4.253868827
2.875833035,-2.75,-5.22,-4.55,7.45,4.47519832
2.901946068,-2.46,-8.9,-7.08,11.63,3.372758515
2.903241158,-1.65,-11.53,-5.13,12.72,4.077290767
2.904812098,-0.5,-12.1,-1.26,12.17,2.142731901
2.914710999,0.16,-14.11,-0.92,14.14,3.049491761
2.92550087,0.2,-16.98,-1.95,17.09,1.912955828
2.935425997,0.29,-18.75,-2.67,18.94,0.773175271
2.945275068,-0.03,-19.4,-2.4,19.54,1.089082182
2.955964088,-0.27,-18.51,-1.82,18.6,1.673260291
2.96529603,-0.17,-16.94,-1.25,16.98,1.230690863
2.975332022,0.24,-16.03,-1.97,16.15,1.115750868
3.001984119,0.97,-15.95,-2.81,16.22,1.041825321
3.00374794,1.7,-15.24,-3.03,15.63,1.556952151
3.004976988,2.21,-13.78,-3.21,14.32,1.750114282
3.01407814,2.21,-12.03,-3.19,12.64,2.070772803
3.025268078,1.62,-10.05,-3.05,10.62,1.984590638
3.035027981,0.81,-8.24,-2.97,8.79,1.379093905
3.045106888,0.28,-6.97,-2.88,7.54,0.89
3.054718018,0,-6.16,-2.64,6.7,0.552539591
3.06496501,-0.08,-5.74,-2.29,6.18,0.382361086
3.074953079,0.22,-5.85,-2.08,6.21,0.65
3.085863113,0.55,-6.41,-2.08,6.76,0.64101482
3.1034832,0.57,-7.05,-2.05,7.36,0.68745909
3.104763031,0.54,-7.71,-1.86,7.94,0.745251635
3.113795042,0.45,-8.44,-1.74,8.62,0.959583243
3.124572039,0.17,-9.34,-1.56,9.47,0.719513725
3.134487152,0.03,-10.04,-1.47,10.14,0.670298441
3.14469099,-0.01,-10.7,-1.36,10.78,0.478121324
3.154644012,0.06,-11.16,-1.25,11.22,0.290344623
3.164382935,0.07,-11.45,-1.26,11.51,0.408044115
3.175153017,0.02,-11.67,-1.6,11.77,0.487134478
3.204061985,0.1,-11.77,-2.07,11.95,0.308868904
3.206068039,0.22,-11.68,-2.34,11.91,0.410121933
3.208105087,0.34,-11.31,-2.47,11.58,0.610327781
3.213402987,0.29,-10.71,-2.57,11.01,0.495075752
3.223248959,0.3,-10.22,-2.64,10.55,0.533010319
3.234268188,0.5,-9.82,-2.93,10.25,0.359026461
3.243688107,0.67,-9.72,-3.23,10.26,0.335857112
3.253614902,0.83,-9.58,-2.97,10.06,0.609343909
3.264240026,1.17,-9.37,-2.51,9.77,0.257875939
3.274211884,1.22,-9.45,-2.27,9.79,0.454972527
3.30235815,0.95,-9.66,-1.97,9.9,0.519422757
3.304431915,0.74,-10.02,-1.66,10.18,0.605640157
3.30569005,0.66,-10.62,-1.64,10.76,0.796115569
3.312903881,0.65,-11.33,-2,11.52,0.624899992
