time,ax,ay,az,atotal
1.2586979866027832,0.04,0.12,0.09,0.15
1.2605929374694824,-0.01,0.18,0.04,0.18
1.2620279788970947,-0.07,0.21,-0.05,0.22
1.2781460285186768,0.01,0.18,-0.01,0.18
1.2804489135742188,0.06,0.09,0.08,0.13
1.2932300567626953,0.03,0.06,0.09,0.11
1.2992360591888428,0.03,0.03,0.08,0.09
1.3099570274353027,0.02,0.04,0.06,0.07
1.3199238777160645,0.03,0.04,0.05,0.07
1.3303031921386719,0.04,-0.01,0.02,0.04
1.3561530113220215,0.02,-0.03,0.03,0.04
1.3586058616638184,0.07,-0.04,0.07,0.1
1.3605308532714844,0.04,-0.04,0.08,0.09
1.3693270683288574,0.01,-0.03,0.07,0.07
1.3795080184936523,0.0,-0.05,0.08,0.09
1.3891968727111816,0.03,-0.08,0.08,0.11
1.3990559577941895,0.06,-0.06,0.1,0.13
1.4095001220703125,-0.04,-0.09,0.05,0.11
1.4193689823150635,-0.08,-0.13,0.02,0.15
1.429305076599121,-0.02,-0.23,0.0,0.23
1.4508750438690186,0.01,-0.33,0.01,0.33
1.4523210525512695,0.02,-0.4,0.09,0.41
1.4592599868774414,0.03,-0.48,0.19,0.51
1.4685029983520508,0.01,-0.59,0.25,0.64
1.47959303855896,-0.05,-0.74,0.26,0.78
1.488725185394287,-0.22,-0.96,0.2,1.0
1.4989471435546875,-0.24,-1.19,0.14,1.22
1.5091960430145264,-0.17,-1.52,0.1,1.53
1.518993854522705,-0.14,-1.88,0.06,1.88
1.530121088027954,-0.05,-2.15,-0.01,2.15
1.5552470684051514,-0.1,-2.46,-0.05,2.46
1.5575320720672607,-0.15,-2.69,-0.1,2.69
1.5593950748443604,-0.1,-2.9,-0.14,2.9
1.5677590370178223,-0.15,-3.2,-0.19,3.2
1.5788021087646484,-0.26,-3.44,-0.33,3.46
1.587751865386963,-0.19,-3.55,-0.43,3.58
1.5984301567077637,-0.13,-3.64,-0.37,3.66
1.6085350513458252,-0.07,-3.74,-0.31,3.75
1.6182971000671387,-0.04,-4.02,-0.32,4.03
1.628878116607666,0.04,-4.5,-0.36,4.51
1.6519598960876465,0.01,-5.17,-0.32,5.17
1.6534919738769531,0.09,-5.64,-0.25,5.64
1.6579899787902832,0.32,-6.13,-0.27,6.14
1.6683778762817383,0.53,-6.57,-0.28,6.59
1.6786069869995117,0.73,-6.74,-0.26,6.78
1.6878509521484375,0.74,-6.6,-0.04,6.64
1.6979420185089111,0.57,-6.14,0.21,6.16
1.708219051361084,0.54,-5.4,0.37,5.43
1.717966079711914,0.69,-4.32,0.44,4.39
1.7284719944000244,0.7,-3.07,0.5,3.18
1.7520709037780762,0.44,-1.77,0.66,1.93
