time;gFx;gFy;gFz;TgF
0,921214;-0,0352;0,0980;0,9584;0,964
0,925549;-0,0365;0,0968;0,9669;0,972
0,930672;-0,0372;0,0969;0,9754;0,981
0,933214;-0,0327;0,0966;0,9863;0,992
0,937319;-0,0276;0,0980;0,9972;1,002
0,941399;-0,0246;0,0985;1,0053;1,010
0,945301;-0,0223;0,0970;1,0134;1,018
0,949418;-0,0199;0,0957;1,0146;1,019
0,952979;-0,0149;0,0970;1,0156;1,020
0,957471;-0,0103;0,0965;1,0113;1,016
0,961173;-0,0114;0,0966;1,0053;1,010
0,967306;-0,0129;0,0988;0,9976;1,003
0,969215;-0,0169;0,1012;0,9898;0,995
0,974092;-0,0213;0,1039;0,9839;0,990
0,976948;-0,0238;0,1069;0,9768;0,983
0,981338;-0,0252;0,1099;0,9691;0,976
0,985641;-0,0244;0,1147;0,9608;0,968
0,988732;-0,0199;0,1195;0,9530;0,961
0,992892;-0,0138;0,1236;0,9484;0,957
0,997209;-0,0067;0,1275;0,9428;0,951
1,000865;0,0004;0,1287;0,9363;0,945
1,004706;0,0054;0,1301;0,9341;0,943
1,008794;0,0133;0,1318;0,9348;0,944
1,012947;0,0215;0,1303;0,9360;0,945
1,016582;0,0323;0,1315;0,9394;0,949
1,020682;0,0392;0,1299;0,9413;0,951
1,028283;0,0433;0,1288;0,9450;0,955
1,029036;0,0451;0,1267;0,9514;0,961
1,033241;0,0483;0,1257;0,9584;0,968
1,036711;0,0524;0,1267;0,9661;0,976
1,042608;0,0533;0,1250;0,9711;0,981
1,046960;0,0526;0,1214;0,9710;0,980
1,048095;0,0503;0,1182;0,9713;0,980
1,052583;0,0497;0,1133;0,9728;0,981
1,057844;0,0490;0,1093;0,9739;0,981
1,060708;0,0495;0,1070;0,9764;0,983
1,064394;0,0519;0,1061;0,9748;0,982
1,068678;0,0545;0,1038;0,9736;0,981
1,072070;0,0553;0,1028;0,9746;0,982
1,076841;0,0563;0,1020;0,9771;0,984
1,080392;0,0557;0,0993;0,9757;0,982
1,084314;0,0538;0,0952;0,9738;0,980
1,090611;0,0508;0,0944;0,9720;0,978
1,092482;0,0428;0,0928;0,9727;0,978
1,097636;0,0377;0,0934;0,9741;0,979
1,101926;0,0304;0,0920;0,9750;0,980
1,104154;0,0251;0,0977;0,9762;0,981
1,108591;0,0198;0,1039;0,9755;0,981
1,111958;0,0155;0,1103;0,9773;0,984
1,116054;0,0106;0,1156;0,9807;0,988
1,120392;0,0065;0,1201;0,9781;0,985
1,126878;-0,0019;0,1231;0,9737;0,981
1,127762;-0,0089;0,1254;0,9730;0,981
1,132176;-0,0132;0,1269;0,9725;0,981
1,135788;-0,0182;0,1279;0,9751;0,984
1,141040;-0,0223;0,1318;0,9826;0,992
1,144015;-0,0245;0,1329;0,9873;0,996
1,148303;-0,0277;0,1356;0,9915;1,001
1,156203;-0,0313;0,1365;0,9916;1,001
1,158519;-0,0322;0,1374;0,9915;1,002
1,159522;-0,0350;0,1371;0,9899;1,000
1,163697;-0,0360;0,1385;0,9875;0,998
1,167517;-0,0372;0,1381;0,9875;0,998
1,171670;-0,0397;0,1414;0,9811;0,992
1,180046;-0,0437;0,1445;0,9731;0,985
1,180878;-0,0462;0,1484;0,9676;0,980
1,183761;-0,0500;0,1534;0,9591;0,973
1,187787;-0,0527;0,1569;0,9538;0,968
1,193400;-0,0537;0,1600;0,9513;0,966
1,195239;-0,0537;0,1622;0,9478;0,963
1,199313;-0,0533;0,1615;0,9477;0,963
1,205422;-0,0486;0,1604;0,9516;0,966
1,207918;-0,0491;0,1560;0,9573;0,971
1,211224;-0,0486;0,1514;0,9592;0,972
1,215201;-0,0445;0,1479;0,9654;0,978
1,219440;-0,0382;0,1451;0,9730;0,984
1,224002;-0,0263;0,1438;0,9845;0,995
1,227064;-0,0172;0,1436;0,9946;1,005
1,231178;-0,0146;0,1420;1,0012;1,011
1,235189;-0,0116;0,1397;1,0058;1,016
1,240501;-0,0116;0,1366;1,0076;1,017
1,245564;-0,0101;0,1354;1,0038;1,013
1,247065;-0,0104;0,1331;0,9997;1,009
