time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
3,701486;1,5500;0,5786;-5,0651;5,328
3,715496;1,3579;1,0859;-5,1660;5,451
3,722673;1,0220;0,9521;-4,7864;4,986
3,745764;1,2563;0,8850;-4,6646;4,911
3,747621;1,2722;0,9602;-3,9432;4,253
3,753913;1,3453;0,8728;-3,3906;3,751
3,760496;1,7788;1,1189;-2,7727;3,479
3,770989;2,2715;1,5871;-2,1491;3,507
3,780564;2,4552;2,2435;-2,3962;4,099
3,790351;1,8988;2,6867;-2,9079;4,391
3,800333;2,0393;3,0959;-3,5782;5,152
3,810993;2,0523;3,9539;-3,7600;5,829
3,819806;1,2239;4,6585;-4,1594;6,364
3,829860;1,0111;5,1133;-4,4837;6,875
3,846496;1,0874;5,6302;-4,5246;7,304
3,852996;1,4427;6,2768;-4,4064;7,804
3,865570;2,1372;6,7261;-4,2172;8,221
3,870457;2,2871;6,8995;-3,7419;8,175
3,879612;3,0405;7,0536;-3,0481;8,264
3,893917;3,2178;6,9539;-3,9045;8,600
3,899419;2,6917;6,4437;-4,1728;8,135
3,909922;1,8859;6,4428;-5,6377;8,766
3,920203;0,8415;6,0827;-8,2445;10,280
3,929771;-0,1300;5,1602;-9,2275;10,573
3,940386;0,4475;3,9090;-8,7738;9,616
3,949174;0,1346;3,6700;-8,1435;8,933
3,958917;0,6425;2,5016;-5,2161;5,821
3,969490;0,4000;1,6652;-5,0992;5,379
3,979023;0,9873;-0,1350;-5,6847;5,771
4,004215;1,3385;-1,2578;-3,7477;4,174
4,005482;-2,9472;-2,6236;-2,3006;4,567
4,012818;-7,5779;-7,8580;0,1950;10,918
4,020137;-2,5752;-14,0362;9,5669;17,181
4,029654;-2,8035;-14,9069;14,8123;21,201
4,042119;-5,0122;-15,0871;11,0342;19,352
4,048468;-0,8384;-15,9072;12,4375;20,210
4,058237;2,6461;-16,4912;20,0646;26,107
4,068741;5,9326;-14,3434;22,7152;27,512
4,079152;9,5256;-7,0699;18,6796;22,128
4,092581;8,3070;-0,8240;18,3461;20,156
